Species,x,y,bio1_1,bio4_1,bio5_1,bio6_1,bio7_1,bio12_1,bio15_1,bio17_1,taxon,group,complex,dispStage,selfOut,dispersion,trophicLevel,maxSize
Microtus richardsoniE,-118,45.5,88,7190,301,-55,356,573,39,66,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.9103,46.0306,24,6793,219,-114,333,787,42,91,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.9103,46.0306,24,6793,219,-114,333,787,42,91,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.8333,46.0833,32,6809,229,-106,335,766,41,89,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.8275,46.0561,29,6804,226,-109,335,768,41,89,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.8275,46.0561,29,6804,226,-109,335,768,41,89,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.8275,46.0561,29,6804,226,-109,335,768,41,89,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.8275,46.0561,29,6804,226,-109,335,768,41,89,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.8275,46.0561,29,6804,226,-109,335,768,41,89,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.8275,46.0561,29,6804,226,-109,335,768,41,89,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.8275,46.0561,29,6804,226,-109,335,768,41,89,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.8275,46.0561,29,6804,226,-109,335,768,41,89,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.8275,46.0561,29,6804,226,-109,335,768,41,89,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.8275,46.0561,29,6804,226,-109,335,768,41,89,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.8275,46.0561,29,6804,226,-109,335,768,41,89,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.8275,46.0561,29,6804,226,-109,335,768,41,89,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.8275,46.0561,29,6804,226,-109,335,768,41,89,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.8275,46.0561,29,6804,226,-109,335,768,41,89,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.8275,46.0561,29,6804,226,-109,335,768,41,89,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.8275,46.0561,29,6804,226,-109,335,768,41,89,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.8275,46.0561,29,6804,226,-109,335,768,41,89,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.7858,46.1003,25,6774,222,-112,334,772,40,92,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.7347,45.9312,38,6871,240,-103,343,729,40,86,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.5742,46.2033,27,6785,224,-112,336,749,37,93,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.5742,46.2033,27,6785,224,-112,336,749,37,93,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.5742,46.2033,27,6785,224,-112,336,749,37,93,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.5742,46.2033,27,6785,224,-112,336,749,37,93,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
