Species,n.gps,abs_max_lat,abs_min_lat,length_lat,median_lon,median_lat,area,bio1m,bio1sd,bio2m,bio2sd,bio3m,bio3sd,bio4m,bio4sd,bio5m,bio5sd,bio6m,bio6sd,bio7m,bio7sd,bio8m,bio8sd,bio9m,bio9sd,bio10m,bio10sd,bio11m,bio11sd,bio12m,bio12sd,bio13m,bio13sd,bio14m,bio14sd,bio15m,bio15sd,bio16m,bio16sd,bio17m,bio17sd,bio18m,bio18sd,bio19m,bio19sd,elevm,elevsd,continents,dist,Red.List.status
Dalea formosa,168,39.77108,25.05,14.72108,-104.7083335,31.8767235,1.74E+12,162.4880952,26.3042967,165.0357143,16.05376179,45.5297619,4.112090535,7121.10119,978.835766,340.3690476,20.24950935,-19.17857143,34.53009126,359.547619,34.16599309,239.2261905,22.92233761,116.7321429,60.08790698,252.172619,21.90398127,70.07142857,32.60589775,381.1785714,98.21151081,74.11309524,20.58353088,8.196428571,4.693298737,68.74404762,16.70848937,186.9166667,43.5904204,31.66666667,15.4434129,164.2440476,43.8502483,51.17261905,31.14905195,141.8511905,36.12049692,"North America,South America and the Caribbean",global,LC
Dalea lasiathera,37,45.695576,19.535,26.160576,-100.4142,28.906444,8.99E+11,190.5135135,37.89651232,136.6216216,16.18873297,45.75675676,6.563389222,5792.486486,1414.730356,332.1621622,36.39025626,32.21621622,44.47604545,299.9459459,47.41597594,235.8378378,42.51046506,125.9459459,45.18046895,259.1351351,40.23898204,111.3513514,41.37512418,581.2432432,282.2761065,98.91891892,51.82362094,18.40540541,12.04726677,55.32432432,14.5946224,235.972973,117.3145076,66.54054054,38.93270162,191.2702703,75.31402726,70.32432432,40.49969414,150.7297297,40.23931787,"South America and the Caribbean,North America",global,LC
Dalea obovata,7,31.262028,26.47636,4.785668,-97.9569,29.105,80494759788,209.2857143,18.38218599,123,15.41644144,40.42857143,1.988059595,6144.428571,732.0475524,351.1428571,7.840675384,52.14285714,33.08286853,299,33.69965381,247.8571429,25.53056059,143.7142857,33.88566209,282.7142857,8.420496536,124.5714286,26.78219024,768,178.7782612,115.5714286,15.79933694,33.28571429,16.86924505,40.14285714,11.97815472,263.7142857,35.94771335,127.2857143,51.20453849,201.2857143,31.85756993,137.8571429,52.7902408,125.2857143,13.2251564,North America,endemic,LC
Dalea ornata,79,47.08028,38.43611,8.64417,-119.09944,44.5667,2.85E+11,98.35443038,20.33629947,151.1392405,16.42990876,40.51898734,3.16576543,7522.392405,595.4729303,312.6329114,21.45608348,-56.08860759,25.29527668,368.721519,25.21392407,26.93670886,42.37117482,190.8860759,23.89184355,197.5696203,23.77117601,4.164556962,18.57447268,276.9746835,80.30661988,36.51898734,10.92381632,9.151898734,4.443631593,36.06329114,9.407228225,101.7721519,30.00980582,36.97468354,14.62345734,45.01265823,17.79116294,90.35443038,27.90921086,149.9240506,71.81774871,North America,endemic,LC
Dalea scandens,105,27.065278,15.68,11.385278,-99.1461,22.55,1.10E+12,226.9238095,24.3443625,132.6,26.31707547,58.0952381,7.058170129,3240.371429,1151.973526,336.4190476,29.76342003,108.1142857,37.08496333,228.3047619,46.80198135,254.4190476,28.65604412,202.7238095,35.85239377,263.1047619,27.5443432,182.1047619,28.79734356,1082.047619,617.4520907,232.552381,114.051016,17.84761905,15.47503011,85.63809524,18.30412092,583.2095238,314.8524592,63.59047619,49.12380264,382.9333333,142.7221795,92.08571429,59.31826063,146.9619048,80.72733354,"South America and the Caribbean,North America",global,LC
Darlingtonia californica,338,45.3074,37,8.3074,-122.8373,41.33558651,2.67E+11,87.10385757,29.28926775,140.2433234,21.73364516,47.95548961,3.011057175,5330.21365,985.2878335,260.3738872,40.43339946,-30.49554896,36.10369669,290.8694362,49.85837846,29.42136499,30.60239283,157.0593472,28.8373318,158.3382789,28.22177457,25.09198813,32.15273022,1361.762611,432.5129815,237.3679525,77.91873006,8.810089021,3.852892272,72.53709199,6.349396848,673.6409496,225.7462463,54.10089021,17.62511143,61.02967359,20.79875964,635.7151335,207.8041707,109.4230769,78.91219814,"North America,NA",global,LC
Decodon verticillatus,269,46.475,27.8278,18.6472,-74.88777,41.7097,3.26E+12,98.14869888,35.37422812,110.9144981,11.20618057,30.28996283,4.601015016,8903.973978,1158.874104,280.7249071,23.98784231,-82.91078067,48.40430854,363.6356877,36.12293982,128.5613383,78.9159821,36.23048327,101.771285,209.3085502,24.6830196,-20.56133829,49.40195468,1088.977695,178.0393201,112.7657993,22.09260069,67.85873606,19.06241046,15.11152416,8.672020172,317.3011152,58.85774051,225.3457249,56.37702399,289.2936803,54.41609313,246.9330855,70.67644363,159.7211896,69.29571311,North America,endemic,LC
Desmodium glutinosum,422,47.30144715,19.61,27.69144715,-90.190535,39.642675,6.26E+12,109.0308057,34.20340857,119.5616114,12.73929135,31.62085308,7.634671584,9153.033175,1689.699799,297.6445498,26.37139648,-84.09478673,49.9436787,381.7393365,46.08175444,171.5260664,59.25313492,2.831753555,73.8067235,222.3696682,25.57343911,-14.507109,52.23715968,998.0829384,176.1616221,119.2298578,34.39820964,48.00947867,20.95816226,27.6563981,17.45745951,323.8554502,69.8845363,163.6469194,66.31832095,294.3104265,43.73810891,172.9265403,79.45588003,147.521327,60.31956285,"North America,NA,South America and the Caribbean",global,LC
Desmodium grahamii,218,34.45666,17.725,16.73166,-99.8125,20.1445984,1.46E+12,157.0917431,29.82948199,152.2155963,19.00362165,63.4266055,7.038186065,2729.408257,1334.786292,272.7798165,32.97502415,32.47247706,35.70555049,240.3073394,36.98862749,179.9266055,36.72219947,132.5550459,28.80154881,188.3669725,36.2215814,119.2477064,30.63766423,755.853211,310.2965677,157.793578,66.73780152,10.52752294,8.301444786,82.28440367,13.88802604,408.8944954,176.2606283,39.79816514,25.90563514,261.4311927,100.0434806,53.00917431,38.94933384,125.233945,46.58093738,"South America and the Caribbean,North America",global,LC
Desmodium intortum,91,30.373611,15.038611,15.335,-94.06,17.05,9.50E+11,205.1098901,39.04966938,129.7692308,15.67948194,68.3956044,5.70551219,1664.054945,745.967714,297.7912088,38.46514049,107.9450549,45.19645085,189.8461538,29.66513969,216.010989,38.61505018,193.7362637,42.19026617,223.4065934,39.62518223,181.4835165,40.69489803,1684.472527,768.9398957,325.010989,123.1833768,26.2967033,23.13702877,83.05494505,18.57259788,856.1538462,329.3350514,94.75824176,80.18164665,476.1318681,162.139529,136.0989011,114.3023335,130.8901099,71.79205319,"Africa,Asia,Australia,South America and the Caribbean",global,LC
