Species,x,y,bio1_1,bio4_1,bio5_1,bio6_1,bio7_1,bio12_1,bio15_1,bio17_1,taxon,dispStage,selfOut,dispersion,trophicLevel,maxSize
Alnus rubra,-124.1401,41.0607,112,2566,197,37,160,1382,73,45,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.6431146,37.90046662,134,3055,229,47,182,981,89,13,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.0601,40.5372,119,3092,219,36,183,1411,81,30,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.6548,37.9028,134,3055,229,47,182,981,89,13,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.405,48.04028,101,4487,222,12,210,820,41,104,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.1,49.16667,100,5060,225,2,223,1203,51,124,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.8343,41.9023,103,4732,263,65534,265,1749,77,54,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.9711,41.8454,111,3884,240,17,223,2062,76,64,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.1778,37.0024,132,2694,230,42,188,794,89,10,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.217,43.3678,111,2954,202,34,168,1608,69,73,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.2759,37.1059,130,2660,227,41,186,794,88,10,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.2675757,37.86994037,144,2876,234,60,174,567,88,7,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.0683,41.5469,114,2828,206,31,175,1949,74,66,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.2686,37.8697,144,2876,234,60,174,567,88,7,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.26667,49.28333,97,5242,223,65535,224,1232,53,125,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.73778,49.27083,98,5433,234,65527,243,1498,50,159,Plant,embryo,outcrosser,wind,primary,25000
